botanical_entry_id,botanical_name,duplicate_name_group,duplicate_name_count,part_used,season,ferment_safety,use_type,functions,form_in_system,micronutrients,notes,ayurvedic_profile,tcm_meridians,tcm_nature_flavour,archetype_animal,scientific_actions,synergy_tags,element_planet,permaculture_guild,biodynamic_timing,soil_type,growing_conditions,foraging_habitat,kombucha_1f_friendly_flag,tea_friendly_flag,bitters_friendly_flag,cordial_friendly_flag,fresh_produce_friendly_flag,preserve_friendly_flag,cosmetic_friendly_flag,source_table,source_row
BOT-BR-0001,Abacaxi,abacaxi,1,Fruit;Pulp,Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,2
BOT-BR-0002,Abacaxi — BRS Ajubá,abacaxi_brs_ajuba,1,Fruit,Summer;Autumn,Primary OK,Fresh market;Juice;Pulp,Yield;Disease package;Fruit quality,Fresh;Juice;Pulp,Vit C;bromelain,Embrapa pineapple cultivar resistant to fusariosis.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,3
BOT-BR-0003,Abacaxi — BRS Imperial,abacaxi_brs_imperial,1,Fruit,Summer;Autumn,Primary OK,Fresh market;Juice;Pulp,Yield;Disease package;Fruit quality,Fresh;Juice;Pulp,Vit C;bromelain,Embrapa pineapple cultivar resistant to fusariosis.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,4
BOT-BR-0004,Abacaxi — BRS Vitória,abacaxi_brs_vitoria,1,Fruit,Summer;Autumn,Primary OK,Fresh market;Juice;Pulp,Yield;Disease package;Fruit quality,Fresh;Juice;Pulp,Vit C;bromelain,Embrapa pineapple cultivar resistant to fusariosis and suited to fresh market.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,5
BOT-BR-0005,Abacaxi — MD-2,abacaxi_md_2,1,Fruit,Summer;Autumn,Primary OK,Fresh market;Juice;Pulp,Yield;Disease package;Fruit quality,Fresh;Juice;Pulp,Vit C;bromelain,Modern fresh-market pineapple cultivar also cultivated in Brazil.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,6
BOT-BR-0006,Abacaxi — Pérola,abacaxi_perola,1,Fruit,Summer;Autumn,Primary OK,Fresh market;Juice;Pulp,Yield;Disease package;Fruit quality,Fresh;Juice;Pulp,Vit C;bromelain,Traditional Brazilian pineapple cultivar with strong domestic recognition.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,7
BOT-BR-0007,Abacaxi — Smooth Cayenne,abacaxi_smooth_cayenne,1,Fruit,Summer;Autumn,Primary OK,Fresh market;Juice;Pulp,Yield;Disease package;Fruit quality,Fresh;Juice;Pulp,Vit C;bromelain,Traditional international cultivar present in Brazil.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,8
BOT-BR-0008,Abacaxi — Turiaçu,abacaxi_turiacu,1,Fruit,Summer;Autumn,Primary OK,Fresh market;Juice;Pulp,Yield;Disease package;Fruit quality,Fresh;Juice;Pulp,Vit C;bromelain,Maranhão-associated pineapple type with strong identity and fresh-market appeal.,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,9
BOT-BR-0009,Acerola,acerola,1,Fruit;Pulp,Spring;Summer;Autumn,Primary OK,Fruit;Pulp;Beverage;Cordial,Nutrition;Flavor;Antioxidant,Fresh;Frozen pulp;Juice;Dried,Vit C;Polyphenols,Brazil-first screening row; harvest window varies by region.,,,,,Antioxidant;nutritive,,,,,Well-drained;organic matter,Full sun to partial sun; moisture according to species,Managed orchard;agroforestry;forest edge,True,False,False,True,True,True,False,Botanicals_Master,10
BOT-BR-0010,Acerola — BRS 235 Apodi,acerola_brs_235_apodi,1,Fruit,Spring;Summer;Autumn,Primary OK,Fresh market;Pulp;Nutraceutical;Juice,Vitamin C;Yield;Processing quality,Fresh;Pulp;Juice,Vit C;polyphenols,Embrapa acerola cultivar (Apodi).,,,,,Commodity / cultivar screening,,,,,Managed orchard soils,Managed commercial cultivation,Orchard / plantation,True,False,False,True,True,True,False,Botanicals_Master,11
