product_id,product_name,catalogue_line_guess,fermentation_family_guess,format_label,function_label,core_base,protocols_used,botanicals_used,live_status,intended_use,strength_level,shelf_stability,development_status,notes,source_table,source_row
PROD-BR-00001,Abacaxi — Cordial / Syrup,Beverage / Pantry,,Cordial / Syrup,Premium; Beverage,Abacaxi,,Abacaxi,,Premium; Beverage,Direct,,Concept,Evidence Basis: Cordial / syrup cue in use | Processing Type: Infusion / extraction / sweetening | Suggested Packaging / Form: Glass bottle / syrup concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Brazil-first screening row; harvest window varies by region.,Products,2
PROD-BR-00002,Abacaxi — Extract / Concentrate,Ingredient / Wellness,,Extract / Concentrate,Premium,Abacaxi,,Abacaxi,,Premium,Inferred,,Concept,Evidence Basis: Oil / non-fruit medicinal / fruit profile suggests extract or concentrate | Processing Type: Extraction / concentration | Suggested Packaging / Form: Extract bottle / bulk concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Brazil-first screening row; harvest window varies by region.,Products,3
PROD-BR-00003,Abacaxi — Fresh Produce,Fresh / Raw,,Fresh Produce,Premium; Fresh market,Abacaxi,,Abacaxi,,Premium; Fresh market,Direct,,Concept,Evidence Basis: Fresh market / fruit crop cues | Processing Type: Fresh harvest / grading | Suggested Packaging / Form: Fresh whole fruit / bunch / cut herb | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Brazil-first screening row; harvest window varies by region.,Products,4
PROD-BR-00004,Abacaxi — Frozen Pulp / Purée,Ingredient / Beverage,,Frozen Pulp / Purée,Premium,Abacaxi,,Abacaxi,,Premium,Direct,,Concept,Evidence Basis: Pulp / purée cues in use or form | Processing Type: Pulping / freezing | Suggested Packaging / Form: Frozen pulp sachet / purée pack | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Brazil-first screening row; harvest window varies by region.,Products,5
PROD-BR-00005,Abacaxi — Functional Beverage / RTD,Beverage,,Functional Beverage / RTD,Premium; Beverage,Abacaxi,,Abacaxi,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Beverage / juice-tea / fruit cues suggest RTD use | Processing Type: Extraction / blending / fill | Suggested Packaging / Form: Bottle / can / shot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Brazil-first screening row; harvest window varies by region.,Products,6
PROD-BR-00006,Abacaxi — Jam / Preserve,Pantry,,Jam / Preserve,Premium,Abacaxi,,Abacaxi,,Premium,Inferred,,Concept,Evidence Basis: Fruit use suggests preserve option | Processing Type: Cooking / concentration | Suggested Packaging / Form: Jar / preserve pot | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Brazil-first screening row; harvest window varies by region.,Products,7
PROD-BR-00007,Abacaxi — Juice / Nectar,Beverage,,Juice / Nectar,Premium; Beverage,Abacaxi,,Abacaxi,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Fruit profile suggests juice or nectar | Processing Type: Pressing / pulping / blending | Suggested Packaging / Form: Bottle / pouch / concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Brazil-first screening row; harvest window varies by region.,Products,8
PROD-BR-00010,Abacaxi — BRS Ajubá — Cordial / Syrup,Beverage / Pantry,,Cordial / Syrup,Premium; Beverage,Abacaxi — BRS Ajubá,,Abacaxi — BRS Ajubá,,Premium; Beverage,Inferred,,Concept,Evidence Basis: Fruit or aromatic non-wood parts suggest cordial / syrup | Processing Type: Infusion / extraction / sweetening | Suggested Packaging / Form: Glass bottle / syrup concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,9
PROD-BR-00011,Abacaxi — BRS Ajubá — Extract / Concentrate,Ingredient / Wellness,,Extract / Concentrate,Premium,Abacaxi — BRS Ajubá,,Abacaxi — BRS Ajubá,,Premium,Inferred,,Concept,Evidence Basis: Oil / non-fruit medicinal / fruit profile suggests extract or concentrate | Processing Type: Extraction / concentration | Suggested Packaging / Form: Extract bottle / bulk concentrate | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,10
PROD-BR-00012,Abacaxi — BRS Ajubá — Fresh Produce,Fresh / Raw,,Fresh Produce,Fresh market,Abacaxi — BRS Ajubá,,Abacaxi — BRS Ajubá,,Fresh market,Direct,,Concept,Evidence Basis: Fresh market / fruit crop cues | Processing Type: Fresh harvest / grading | Suggested Packaging / Form: Fresh whole fruit / bunch / cut herb | Primary Source URL: https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/960339/1/FolderAbacaxisdaEmbrapa2013.pdf | Notes: Embrapa pineapple cultivar resistant to fusariosis.,Products,11
