root_profile_id,botanical_entry_id,root_form,root_depth_class,root_spread_class,root_aggression,root_depth_min_m,root_depth_max_m,root_architecture_type,root_depth_category,excavation_sensitivity,root_competition_intensity,container_root_behavior,waterlogging_tolerance,notes,source_table,source_row
ROOT-BOT-BR-0145,BOT-BR-0145,fibrous_woody_climber,medium,moderate,medium,0.3,1,fibrous_woody_climber,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,19749
ROOT-BOT-BR-0146,BOT-BR-0146,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,102955
ROOT-BOT-BR-0147,BOT-BR-0147,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,7506
ROOT-BOT-BR-0148,BOT-BR-0148,fibrous_or_short_rhizome,shallow,narrow_to_moderate,low,0.05,0.3,fibrous_or_short_rhizome,shallow,,low,manageable,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,82605
ROOT-BOT-BR-0149,BOT-BR-0149,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,limited_long_term,review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,19967
ROOT-BOT-BR-0150,BOT-BR-0150,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15666
ROOT-BOT-BR-0151,BOT-BR-0151,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,15667
ROOT-BOT-BR-0152,BOT-BR-0152,fibrous_palm_root_mass,medium,moderate,low_to_medium,0.3,1,fibrous_palm_root_mass,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,33974
ROOT-BOT-BR-0153,BOT-BR-0153,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,20873
ROOT-BOT-BR-0154,BOT-BR-0154,woody_branching,medium,moderate,medium,0.3,1,woody_branching,medium,,medium,limited_long_term,medium_to_high_by_habitat_review,Provisional builder root profile derived from life form; replace with taxon-level root trait sources where available. | Ubatuba focus enrichment: numeric root-depth bounds and aggression class derived from root-depth class + growth form.,angiospermsdatabase.xlsx,32703
