source_row,botanical_name,part_used,season,ferment_safety,use_type,functions,form_in_system,micronutrients,notes,ayurvedic_profile,tcm_meridians,tcm_nature_flavour,archetype_animal,scientific_actions,synergy_tags,element_planet,permaculture_guild,biodynamic_timing,soil_type,growing_conditions,foraging_habitat
2,Wild Garlic,Leaf,Mar;Apr,Secondary only,Tea;Culinary,Antimicrobial;Circulation,Fresh;Pesto,Sulphur compounds,Strong ferment booster,Kapha-↓,Lung;Stomach,Warm;Pungent,Boar;Fox,Antimicrobial;circulation,Spring cleanse,Fire;Mars,Woodland floor,Leaf Day;Waxing,Moist;Woodland,Shade,Woodlands
3,Yellow Dock Root,Root,Sep;Oct;Nov,Secondary only,Bitter;Tonic,Blood;Skin,Dried;Decoction,Iron;Bitters,Very earthy;use lightly,Pitta-neutral;Kapha-↓,Liver;Large Intestine,Warm;Bitter-astringent,Horse;Stag,Iron-mobilising;skin purifying,Skin;Detox,Earth;Mars,Disturbed ground,Root Day;Waning,Clay;Loam,Sun,Pastures
4,Mulberry (Black),Fruit,Jun;Jul,Primary OK,Tea;Syrup;Fruit,Blood-building;Cooling,Fresh;Dried,Iron;Vit C,Soft flavour,Vata-↓;Pitta-↓,Liver;Kidney,Cool;Sweet,Snake;Stag,Blood building;immune,Blood;Calm;Nourish,Water;Moon,Old mulberry trees,Fruit Day;Waxing Moon,Rich;Loam,Sun,Gardens
5,Angelica Root,Root,Aug;Sep,Secondary only,Bitter;Aromatic,Digestive;Circulation,Dried;Tincture,Coumarins;Volatile oils,Strong aromatic root,Kapha-↓;Vata-neutral,Lung;Spleen,Warm;Sweet-pungent,Swan;Hawk,Carminative;blood flow,Digestive;Bitters;Aromatics,Fire;Sun,Woodland,Root Day;Waxing,Moist;Loam,Partial Sun,Woods
6,Rosemary,Leaf,Year-round,Secondary only,Tea;Aromatic,Memory;Circulation,Fresh;Dried,Iron;Calcium,Potent antimicrobial,Kapha-↓;Vata-neutral,Heart;Liver,Warm;pungent,Stag;Dog,Circulatory;antioxidant,Focus;Warmth,Fire;Sun,Mediterranean guild,Leaf Day;Waxing,Well-drained,Sun,Gardens
7,Rose (var. petals),Flower,May;Jun;Jul;Aug,Primary OK,Tea;Aromatic;Topical,Mood;Skin;Heart;Calm,Fresh;Dried;Hydrosol;Oil infusion,Vit C;Polyphenols,Must be unsprayed,Pitta-↓;Vata-↓,Heart;Liver,Cool;Sweet;bitter;Aromatic,Phoenix;Horse,Anxiolytic;astringent;antioxidant,Aphrodisiac;Calm;Beauty/Skin;Heart,Water;Venus,Pollinator;Hedgerow,Flower Day;Waxing Moon;Ascending Moon;Moon in Libra,Moist;Loam;Garden,Full Sun,Gardens;hedges
8,Mint (all varieties),Leaf,Jun;Jul;Aug,Primary OK,Tea;Cooling,Digestive;Cooling,Fresh;Dried,Menthol,SCOBY-safe,Pitta-↓,Lung;Stomach,Cool;pungent,Snake;Fox,Digestive;cooling,Summer;Cooling,Water;Mercury,Runner plant,Leaf Day;Waxing,Moist;Loam,Sun/Partial,Everywhere
9,Wild Strawberry,Fruit,May;Jun,Primary OK,Fruit;Tea,Cooling;Skin,Fresh;Dried,Vit C;Manganese,Leaf medicinal too,Pitta-↓,Lung;Heart,Cool;Sweet-sour,Fawn;Bird,Anti-inflammatory,Beauty;Calm;Gentle,Water;Venus,Woodland edge,Fruit Day;Waxing Moon,Moist;Loam,Partial Sun,Wood edges
10,Clover (White),Flower,Jun;Jul;Aug,Primary OK,Tea,Mild tonic;Cooling,Fresh;Dried,Minerals,Very gentle; child-safe,Vata-neutral;Pitta-↓,Lung;Liver,Cool;Sweet;Mild,Lamb;Rabbit,Mild detox;soothing,Gentle Detox;Summer Coolers,Water;Moon,Nitrogen fixer,Flower Day;Waxing Moon;Ascending Moon;Moon in Cancer,Moist;Meadow soil,Full Sun,Fields;lawns;meadows
11,Borage Flower,Flower,Jun;Jul;Aug,Primary OK,Tea;Decoration,Adrenal support;Cooling,Fresh;Dried,Trace minerals;Gamma-linolenic acid (low in flower),Very mild; lovely blue colour,Pitta-↓;Kapha-neutral,Lung;Heart,Cool;Mild;Sweet,Bee;Frog,Mild anti-inflammatory;adrenal soothing,Cooling;Mood;Summer Drinks,Air;Moon,Bee magnet;Annual herb,Flower Day;Waxing Moon;Ascending Moon;Moon in Cancer,Rich;Loam,Full Sun,Gardens;edges
