zone_profile_id,botanical_entry_id,match_status,match_candidates,botanical_link,common_names,growth_habit,forest_garden_layer,lifespan,native_region,climate_band_prefers,hardiness_class,outdoor_suitability,greenhouse_zone,indoor_container_use,soil_type,soil_moisture,soil_functions,sun_exposure,light_preference,humidity_preference,flood_tolerance,salinity_tolerance,heat_tolerance,fire_tolerance,root_depth_type,spread_pattern,companion_plants,incompatible_with,guild_roles,foraging_habitat,harvest_window,harvest_window_brazil,planting_sowing_window,yield_regrowth,propagation_methods,recommended_establishment_method,recommended_training_method,branch_id,branch_fit,country,region,state_province,zone,microclimate_tags,production_mode,production_mode_basis,spacing_in_row_m,spacing_between_rows_m,spacing_notes,season_start_month,season_end_month,harvest_granularity,harvest_window_1_start,harvest_window_1_end,harvest_window_1_peak_start,harvest_window_1_peak_end,harvest_window_2_start,harvest_window_2_end,harvest_window_2_peak_start,harvest_window_2_peak_end,harvest_passes_per_year,time_to_first_harvest,time_to_full_production,yield_output_type,yield_unit,area_harvested_ha,production_qty,average_yield_per_ha,yield_per_plant,yield_low,yield_typical,yield_high,processing_recovery_pct,production_value_brl,harvest_source,harvest_source_year,harvest_confidence,yield_source,yield_source_year,yield_confidence,notes,source_table,source_row
AF-ZONE-BOT-BR-0145-UB-ZONE-000001,BOT-BR-0145,derived_from_atlantic_forest_habitat_filter,Ubatuba; Picinguaba; Serra do Mar; Green Coast,abuta selloana,cipó-bala,climbing vine/liana,Climber,perennial,"Mata Atlântica; Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)",humid_subtropical_transition,humid_transition_light_frost_review,yes,protected_culture_crossover_possible,limited,Terrícola,moist_to_well_drained,native_cover_support,part_sun_to_part_shade,,medium_to_high,,,,,medium,moderate,Ubatuba vertical support liana; Conservation anchor guild; Mycorrhizal soil-builder guild,extended_waterlogging; hard_frost; prolonged_coastal_salinity,climber,"Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)",species_specific_review_or_non_crop_conservation_row,species_specific_review_or_non_crop_conservation_row,Oct-Mar rainy-season establishment window preferred for Ubatuba focus,perennial persistence; crop yield not estimated in this conservation/companion-focused pack,seed; cuttings; layering; supported transplant,nursery_seedling_with_support,trellis_or_live_support_training,branch_brazil_ubatuba_green_coast,medium_high,Brazil,Southeast,São Paulo,green_coast_inland_semideciduous_transition,Green Coast; inland_transition; seasonal_humidity; foothill,restoration_conservation,Ubatuba_focus_rulepack_v1 from Atlantic Forest habitat + native status + current scope,1.5,2.5,Derived from mature spread and growth form for Ubatuba planning; replace with taxon-level spacing for production crops.,10,3,not_estimated_or_species_specific_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Primary Ubatuba focus zone derived from JBRJ habitat fields and Ubatuba coastal-to-escarpment gradient. dense ombrophilous forest fit; seasonal-forest transition fit. | biome_tags=Atlantic_Forest; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,19749
AF-ZONE-BOT-BR-0146-UB-ZONE-000002,BOT-BR-0146,derived_from_atlantic_forest_habitat_filter,Ubatuba; Picinguaba; Serra do Mar; Green Coast,achyrocline alata,macela,subshrub/herb,Herbaceous / Aquatic / Marginal,perennial,"Caatinga, Cerrado, Mata Atlântica, Pampa; Área Antrópica, Campo de Altitude, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",humid_montane_subtropical,cooler_montane_light_frost_tolerant_review,yes,protected_culture_crossover_possible,yes,Terrícola,moist_to_well_drained,native_cover_support,filtered_sun_to_full_sun,,high,,,,,shallow,narrow_to_moderate,Montane/cloud-edge guild; Pollinator support guild; Mycorrhizal soil-builder guild,coastal_salt_spray; prolonged_waterlogging,xeric_support,"Área Antrópica, Campo de Altitude, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",species_specific_review_or_non_crop_conservation_row,species_specific_review_or_non_crop_conservation_row,Oct-Mar rainy-season establishment window preferred for Ubatuba focus,perennial persistence; crop yield not estimated in this conservation/companion-focused pack,seed; division; cuttings review,direct_sow_or_plug_transplant,clump_management,branch_brazil_ubatuba_green_coast,medium_high,Brazil,Southeast,São Paulo,serra_do_mar_montane_cloud_edge,Serra do Mar; montane; cloud_forest_edge; wind_exposed; high_humidity,restoration_conservation,Ubatuba_focus_rulepack_v1 from Atlantic Forest habitat + native status + current scope,0.3,0.5,Derived from mature spread and growth form for Ubatuba planning; replace with taxon-level spacing for production crops.,10,3,not_estimated_or_species_specific_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Primary Ubatuba focus zone derived from JBRJ habitat fields and Ubatuba coastal-to-escarpment gradient. montane/cloud-edge fit; homegarden/disturbed-edge crossover. | biome_tags=Atlantic_Forest|Highland; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,102955
AF-ZONE-BOT-BR-0146-UB-ZONE-000003,BOT-BR-0146,protected_culture_crossover_from_focus_scope,Ubatuba managed courtyard; nursery; shade-house; protected edge,achyrocline alata,macela,subshrub/herb,Herbaceous / Aquatic / Marginal,perennial,"Caatinga, Cerrado, Mata Atlântica, Pampa; Área Antrópica, Campo de Altitude, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",humid_tropical_protected_culture,protected_culture_buffered_humidity,conditional,protected_culture_humid_coastal,yes,Terrícola,managed_moisture_by_container_and_shelter,native_cover_support,managed_light_by_structure,,high,,,,,shallow,narrow_to_moderate,Montane/cloud-edge guild; Pollinator support guild; Mycorrhizal soil-builder guild,neglected_watering; stagnant_air; overpotting_review,xeric_support,"Área Antrópica, Campo de Altitude, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",species_specific_review_or_managed_harvest,species_specific_review_or_managed_harvest,year_round_under_managed_conditions,managed-container_regrowth_review,seed; division; cuttings review,direct_sow_or_plug_transplant,clump_management,branch_brazil_ubatuba_green_coast,conditional,Brazil,Southeast,São Paulo,ubatuba_protected_culture_crossover,Ubatuba; protected_culture; humid_coastal; nursery; shade_house,protected_culture_companion,container viability / managed-context crossover,0.26,0.42,Protected-culture spacing derived from growth form and container crossover status.,1,12,managed_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Protected-culture crossover row created because the current scope requested protected-culture relevance and the entry is container-viable or managed in disturbed/homegarden contexts. | biome_tags=Atlantic_Forest|Highland; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,102955
AF-ZONE-BOT-BR-0147-UB-ZONE-000006,BOT-BR-0147,derived_from_atlantic_forest_habitat_filter,Ubatuba; Picinguaba; Serra do Mar; Green Coast,actinocephalus bongardii,Agarradinho,herbaceous perennial,Herbaceous / Aquatic / Marginal,perennial,"Caatinga, Cerrado, Mata Atlântica; Área Antrópica, Campo de Altitude, Campo de Várzea, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",humid_montane_subtropical,cooler_montane_light_frost_tolerant_review,yes,protected_culture_crossover_possible,yes,Terrícola,moist_to_well_drained,native_cover_support,filtered_sun_to_full_sun,,high,,,,,shallow,narrow_to_moderate,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,coastal_salt_spray; prolonged_waterlogging,xeric_support,"Área Antrópica, Campo de Altitude, Campo de Várzea, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",species_specific_review_or_non_crop_conservation_row,species_specific_review_or_non_crop_conservation_row,Oct-Mar rainy-season establishment window preferred for Ubatuba focus,perennial persistence; crop yield not estimated in this conservation/companion-focused pack,seed; division; plug transplant,direct_sow_or_plug_transplant,clump_management,branch_brazil_ubatuba_green_coast,medium_high,Brazil,Southeast,São Paulo,serra_do_mar_montane_cloud_edge,Serra do Mar; montane; cloud_forest_edge; wind_exposed; high_humidity,restoration_conservation,Ubatuba_focus_rulepack_v1 from Atlantic Forest habitat + native status + current scope,0.3,0.5,Derived from mature spread and growth form for Ubatuba planning; replace with taxon-level spacing for production crops.,10,3,not_estimated_or_species_specific_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Primary Ubatuba focus zone derived from JBRJ habitat fields and Ubatuba coastal-to-escarpment gradient. montane/cloud-edge fit; homegarden/disturbed-edge crossover. | biome_tags=Atlantic_Forest|Highland; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,7506
AF-ZONE-BOT-BR-0147-UB-ZONE-000007,BOT-BR-0147,protected_culture_crossover_from_focus_scope,Ubatuba managed courtyard; nursery; shade-house; protected edge,actinocephalus bongardii,Agarradinho,herbaceous perennial,Herbaceous / Aquatic / Marginal,perennial,"Caatinga, Cerrado, Mata Atlântica; Área Antrópica, Campo de Altitude, Campo de Várzea, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",humid_tropical_protected_culture,protected_culture_buffered_humidity,conditional,protected_culture_humid_coastal,yes,Terrícola,managed_moisture_by_container_and_shelter,native_cover_support,managed_light_by_structure,,high,,,,,shallow,narrow_to_moderate,Montane/cloud-edge guild; Conservation anchor guild; Mycorrhizal soil-builder guild,neglected_watering; stagnant_air; overpotting_review,xeric_support,"Área Antrópica, Campo de Altitude, Campo de Várzea, Campo Limpo, Campo Rupestre, Cerrado (lato sensu)",species_specific_review_or_managed_harvest,species_specific_review_or_managed_harvest,year_round_under_managed_conditions,managed-container_regrowth_review,seed; division; plug transplant,direct_sow_or_plug_transplant,clump_management,branch_brazil_ubatuba_green_coast,conditional,Brazil,Southeast,São Paulo,ubatuba_protected_culture_crossover,Ubatuba; protected_culture; humid_coastal; nursery; shade_house,protected_culture_companion,container viability / managed-context crossover,0.26,0.42,Protected-culture spacing derived from growth form and container crossover status.,1,12,managed_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Protected-culture crossover row created because the current scope requested protected-culture relevance and the entry is container-viable or managed in disturbed/homegarden contexts. | biome_tags=Atlantic_Forest|Highland; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,7506
AF-ZONE-BOT-BR-0148-UB-ZONE-000008,BOT-BR-0148,derived_from_atlantic_forest_habitat_filter,Ubatuba; Picinguaba; Serra do Mar; Green Coast,aeschynomene rudis,cortiça,subshrub/herb,Herbaceous / Aquatic / Marginal,perennial,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal; Área Antrópica, Caatinga (stricto sensu), Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)",humid_tropical_coastal_wetland,warm_humid_wetland_frost_sensitive,yes,protected_culture_crossover_possible,yes,Aquática; Terrícola,wet_to_waterlogged,native_cover_support,full_sun_to_part_shade,,very_high,,,,,shallow,narrow_to_moderate,Riparian/wetland stabilizer; Nitrogen input guild,extended_drought; hard_frost,nitrogen_fixer;wetland_filter;xeric_support,"Área Antrópica, Caatinga (stricto sensu), Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)",species_specific_review_or_non_crop_conservation_row,species_specific_review_or_non_crop_conservation_row,Oct-Mar rainy-season establishment window preferred for Ubatuba focus,perennial persistence; crop yield not estimated in this conservation/companion-focused pack,seed; division; cuttings review,direct_sow_or_plug_transplant,clump_management,branch_brazil_ubatuba_green_coast,high,Brazil,Southeast,São Paulo,ubatuba_riparian_wetland_mangrove_edge,Ubatuba; Green Coast; wetland; riparian; mangrove_edge; humid_coastal,restoration_conservation,Ubatuba_focus_rulepack_v1 from Atlantic Forest habitat + native status + current scope,0.3,0.5,Derived from mature spread and growth form for Ubatuba planning; replace with taxon-level spacing for production crops.,10,3,not_estimated_or_species_specific_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Primary Ubatuba focus zone derived from JBRJ habitat fields and Ubatuba coastal-to-escarpment gradient. wetland/mangrove-edge fit; dense ombrophilous forest fit; seasonal-forest transition fit; homegarden/disturbed-edge crossover. | biome_tags=Atlantic_Forest|Coastal_Restinga; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,82605
AF-ZONE-BOT-BR-0148-UB-ZONE-000009,BOT-BR-0148,protected_culture_crossover_from_focus_scope,Ubatuba managed courtyard; nursery; shade-house; protected edge,aeschynomene rudis,cortiça,subshrub/herb,Herbaceous / Aquatic / Marginal,perennial,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal; Área Antrópica, Caatinga (stricto sensu), Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)",humid_tropical_protected_culture,protected_culture_buffered_humidity,conditional,protected_culture_humid_coastal,yes,Aquática; Terrícola,managed_moisture_by_container_and_shelter,native_cover_support,managed_light_by_structure,,high,,,,,shallow,narrow_to_moderate,Riparian/wetland stabilizer; Nitrogen input guild,neglected_watering; stagnant_air; overpotting_review,nitrogen_fixer;wetland_filter;xeric_support,"Área Antrópica, Caatinga (stricto sensu), Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta Estacional Semidecidual, Floresta Ombrófila (= Floresta Pluvial)",species_specific_review_or_managed_harvest,species_specific_review_or_managed_harvest,year_round_under_managed_conditions,managed-container_regrowth_review,seed; division; cuttings review,direct_sow_or_plug_transplant,clump_management,branch_brazil_ubatuba_green_coast,conditional,Brazil,Southeast,São Paulo,ubatuba_protected_culture_crossover,Ubatuba; protected_culture; humid_coastal; nursery; shade_house,protected_culture_companion,container viability / managed-context crossover,0.26,0.42,Protected-culture spacing derived from growth form and container crossover status.,1,12,managed_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Protected-culture crossover row created because the current scope requested protected-culture relevance and the entry is container-viable or managed in disturbed/homegarden contexts. | biome_tags=Atlantic_Forest|Coastal_Restinga; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,82605
AF-ZONE-BOT-BR-0149-UB-ZONE-000010,BOT-BR-0149,derived_from_atlantic_forest_habitat_filter,Ubatuba; Picinguaba; Serra do Mar; Green Coast,agonandra brasiliensis subsp. brasiliensis,cervejinha,small tree or large shrub,Sub-canopy,perennial,"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal; Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta de Várzea, Floresta Estacional Decidual, Floresta Estacional Semidecidual",humid_subtropical_transition,humid_transition_light_frost_review,yes,protected_culture_crossover_possible,limited,Terrícola,moist_to_well_drained,native_cover_support,part_sun_to_part_shade,,medium_to_high,,,,,medium,moderate,Ubatuba small-tree nurse canopy; Bird/bat food-web guild; Mycorrhizal soil-builder guild,extended_waterlogging; hard_frost; prolonged_coastal_salinity,structural;xeric_support,"Carrasco, Cerrado (lato sensu), Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta de Várzea, Floresta Estacional Decidual, Floresta Estacional Semidecidual",species_specific_review_or_non_crop_conservation_row,species_specific_review_or_non_crop_conservation_row,Oct-Mar rainy-season establishment window preferred for Ubatuba focus,perennial persistence; crop yield not estimated in this conservation/companion-focused pack,seed; nursery seedling; cuttings review,nursery_seedling,formative_pruning_or_multi_stem_shaping,branch_brazil_ubatuba_green_coast,medium_high,Brazil,Southeast,São Paulo,green_coast_inland_semideciduous_transition,Green Coast; inland_transition; seasonal_humidity; foothill,restoration_conservation,Ubatuba_focus_rulepack_v1 from Atlantic Forest habitat + native status + current scope,2.25,3.75,Derived from mature spread and growth form for Ubatuba planning; replace with taxon-level spacing for production crops.,10,3,not_estimated_or_species_specific_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Primary Ubatuba focus zone derived from JBRJ habitat fields and Ubatuba coastal-to-escarpment gradient. seasonal-forest transition fit. | biome_tags=Atlantic_Forest; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,19967
AF-ZONE-BOT-BR-0150-UB-ZONE-000011,BOT-BR-0150,derived_from_atlantic_forest_habitat_filter,Ubatuba; Picinguaba; Serra do Mar; Green Coast,allagoptera arenaria,Caxandó,small palm,Canopy,perennial,Mata Atlântica; Restinga,humid_tropical_coastal_restinga,coastal_humid_frost_sensitive,yes,protected_culture_crossover_possible,limited,Terrícola,free_draining_to_seasonally_moist,native_cover_support,full_sun_to_part_sun,,high,,,,,medium,moderate,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,waterlogging_except_backdune_slacks; hard_frost; prolonged_deep_shade,structural,Restinga,species_specific_review_or_non_crop_conservation_row,species_specific_review_or_non_crop_conservation_row,Oct-Mar rainy-season establishment window preferred for Ubatuba focus,perennial persistence; crop yield not estimated in this conservation/companion-focused pack,seed; nursery seedling,nursery_seedling,minimal_structural_training,branch_brazil_ubatuba_green_coast,high,Brazil,Southeast,São Paulo,ubatuba_restinga_coastal_plain,Ubatuba; Green Coast; restinga; coastal_sand; salt_spray; wind_exposed,restoration_conservation,Ubatuba_focus_rulepack_v1 from Atlantic Forest habitat + native status + current scope,3,5,Derived from mature spread and growth form for Ubatuba planning; replace with taxon-level spacing for production crops.,10,3,not_estimated_or_species_specific_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Primary Ubatuba focus zone derived from JBRJ habitat fields and Ubatuba coastal-to-escarpment gradient. restinga/coastal-sand fit. | biome_tags=Atlantic_Forest|Coastal_Restinga; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,15666
AF-ZONE-BOT-BR-0151-UB-ZONE-000012,BOT-BR-0151,derived_from_atlantic_forest_habitat_filter,Ubatuba; Picinguaba; Serra do Mar; Green Coast,allagoptera brevicalyx,Cachandó,small palm,Sub-canopy,perennial,"Caatinga, Mata Atlântica; Caatinga (stricto sensu), Restinga",humid_tropical_coastal_restinga,coastal_humid_frost_sensitive,yes,protected_culture_crossover_possible,limited,Terrícola,free_draining_to_seasonally_moist,native_cover_support,full_sun_to_part_sun,,high,,,,,medium,moderate,Restinga soil binder; Conservation anchor guild; Mycorrhizal soil-builder guild,waterlogging_except_backdune_slacks; hard_frost; prolonged_deep_shade,structural;xeric_support,"Caatinga (stricto sensu), Restinga",species_specific_review_or_non_crop_conservation_row,species_specific_review_or_non_crop_conservation_row,Oct-Mar rainy-season establishment window preferred for Ubatuba focus,perennial persistence; crop yield not estimated in this conservation/companion-focused pack,seed; nursery seedling,nursery_seedling,minimal_structural_training,branch_brazil_ubatuba_green_coast,high,Brazil,Southeast,São Paulo,ubatuba_restinga_coastal_plain,Ubatuba; Green Coast; restinga; coastal_sand; salt_spray; wind_exposed,restoration_conservation,Ubatuba_focus_rulepack_v1 from Atlantic Forest habitat + native status + current scope,3,5,Derived from mature spread and growth form for Ubatuba planning; replace with taxon-level spacing for production crops.,10,3,not_estimated_or_species_specific_review,,,,,,,,,,review_by_species,review_by_species,,,,,,,,,,,,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Ubatuba_focus_rulepack_v1,2026,not_estimated_non_crop_focus,Primary Ubatuba focus zone derived from JBRJ habitat fields and Ubatuba coastal-to-escarpment gradient. restinga/coastal-sand fit. | biome_tags=Atlantic_Forest|Coastal_Restinga; scaleup_pass=Atlantic_Forest_Scaleup_2026-04-06,Ubatuba_focus_rulepack_v1,15667
