symbiosis_profile_id,botanical_entry_id,symbiosis_type,symbiotic_partner_type,symbiotic_partner_botanical_id,mycorrhizal_association_type,nitrogen_fixing_flag,host_dependency_flag,nurse_plant_flag,rhizosphere_benefit_notes,symbiosis_strength,symbiosis_confidence,symbiotic_role_tags,notes,source_table,source_row
SYM-BOT-BR-0001,BOT-BR-0001,mycorrhizal_association,soil_microbe,,limited,FALSE,,FALSE,Rosette architecture shelters small fauna; strong mulch response in hot sites.,limited,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,17
SYM-BOT-BR-0002,BOT-BR-0002,mycorrhizal_association,soil_microbe,,limited,FALSE,,FALSE,Rosette architecture shelters small fauna; strong mulch response in hot sites.,limited,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,17
SYM-BOT-BR-0003,BOT-BR-0003,mycorrhizal_association,soil_microbe,,limited,FALSE,,FALSE,Rosette architecture shelters small fauna; strong mulch response in hot sites.,limited,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,17
SYM-BOT-BR-0004,BOT-BR-0004,mycorrhizal_association,soil_microbe,,limited,FALSE,,FALSE,Rosette architecture shelters small fauna; strong mulch response in hot sites.,limited,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,17
SYM-BOT-BR-0005,BOT-BR-0005,mycorrhizal_association,soil_microbe,,limited,FALSE,,FALSE,Rosette architecture shelters small fauna; strong mulch response in hot sites.,limited,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,17
SYM-BOT-BR-0006,BOT-BR-0006,mycorrhizal_association,soil_microbe,,limited,FALSE,,FALSE,Rosette architecture shelters small fauna; strong mulch response in hot sites.,limited,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,17
SYM-BOT-BR-0007,BOT-BR-0007,mycorrhizal_association,soil_microbe,,limited,FALSE,,FALSE,Rosette architecture shelters small fauna; strong mulch response in hot sites.,limited,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,17
SYM-BOT-BR-0008,BOT-BR-0008,mycorrhizal_association,soil_microbe,,limited,FALSE,,FALSE,Rosette architecture shelters small fauna; strong mulch response in hot sites.,limited,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,17
SYM-BOT-BR-0009,BOT-BR-0009,mycorrhizal_association,soil_microbe,,likely,FALSE,,FALSE,Supports pollinators and frugivores; responds well to organic mulch and soil-biota-rich systems.,likely,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,148
SYM-BOT-BR-0010,BOT-BR-0010,mycorrhizal_association,soil_microbe,,likely,FALSE,,FALSE,Supports pollinators and frugivores; responds well to organic mulch and soil-biota-rich systems.,likely,high,mycorrhizae,,IDENTITY_BRAZIL_BLOCK1,148
