zone_profile_id,botanical_entry_id,branch_id,country,region,zone,microclimate_tags,production_mode,growth_habit,forest_garden_layer,guild_roles,light_preference,flood_tolerance,salinity_tolerance,heat_tolerance,fire_tolerance,harvest_window_brazil,propagation_methods,conservation_status,notes,source_table,source_row
BRWM-00001,BOT-BR-0001,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,2
BRWM-00002,BOT-BR-0001,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,3
BRWM-00003,BOT-BR-0001,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,4
BRWM-00004,BOT-BR-0002,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,5
BRWM-00005,BOT-BR-0002,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,6
BRWM-00006,BOT-BR-0002,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,7
BRWM-00007,BOT-BR-0003,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,8
BRWM-00008,BOT-BR-0003,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,9
BRWM-00009,BOT-BR-0003,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,10
BRWM-00010,BOT-BR-0004,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,11
BRWM-00011,BOT-BR-0004,branch_brazil,Brazil,North,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,12
BRWM-00012,BOT-BR-0004,branch_brazil,Brazil,Southeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,13
BRWM-00013,BOT-BR-0005,branch_brazil,Brazil,Northeast,Nationwide managed orchards,full sun;well-drained;commercial beds,Cultivated orchard,Herb,Herbaceous,fruit_producer;medicinal;pollinator_support,full sun,low,low to medium,high,low,regional / variable,seed_limited;division;tissue_culture,no,Fill only from source-backed regional data; legacy Season is summary only. | biome_tags=Amazon|Atlantic_Forest|Cerrado; biome_basis=amazon|atlantic_forest|cerrado; normalization_pass=Brazil_FNP_2026-04-05,Brazil_Working_Master,14
